event_id,event_name,start_date,end_date,industry,region,country_codes,severity,description,source,cameo_codes_expected,duration_days,year,severity_label
D016,US-EU Chip Export Controls on China,2023-10-17,2024-12-31,"Semiconductors, AI Hardware",Global,"USA,NLD,JPN,CHN",3,US expanded chip export controls; Netherlands (ASML) and Japan joined. Blocked sale of advanced AI chips and chipmaking equipment to China. Huawei workarounds emerged.,"BIS, Reuters","17,1221,1211,172",441,2023,Significant
D017,Panama Canal Drought — Water Level Crisis,2023-08-01,2024-02-01,"Shipping, LNG, Grain, Consumer Goods",Central America (Panama),PAN,4,"Severe El Niño drought reduced canal water levels to historic lows. Daily transits cut from 36 to 18. LNG carriers, grain ships diverted to Suez or Cape Horn.","Panama Canal Authority, Bloomberg","17,14",184,2023,Severe
D018,Houthi Red Sea Shipping Attacks,2023-12-08,2024-12-31,"Shipping, Oil, Retail, Automotive","Middle East (Red Sea, Bab el-Mandeb)",YEM,5,"Houthi missiles and drones targeted commercial ships in Red Sea, citing Gaza conflict. Major carriers (Maersk, MSC, CMA CGM) rerouted around Cape of Good Hope, adding 10-14 days and $1M+ per voyage.","Lloyd's, Drewry","13,20,17,131",389,2023,Catastrophic
D019,UAW Auto Strike — Detroit Three,2023-09-15,2023-10-30,Automotive,North America (USA),USA,3,"United Auto Workers struck Ford, GM, and Stellantis simultaneously for the first time. ~50,000 workers walked out. Supplier layoffs cascaded. ~$9.3B estimated economic loss.","UAW, Anderson Economic Group","14,140,141",45,2023,Significant
D020,Key Bridge Baltimore Port Collapse,2024-03-26,2024-07-01,"Automotive, Coal, Sugar, Agriculture","North America (Baltimore, USA)",USA,3,"MV Dali cargo ship struck the Francis Scott Key Bridge, causing its collapse and closing Port of Baltimore. US's top auto import port shut for months. Coal and sugar exports also disrupted.","USACE, Port of Baltimore","20,17,14",97,2024,Significant
D021,Taiwan Earthquake — TSMC Production Impact,2024-04-03,2024-04-15,Semiconductors,Asia-Pacific (Taiwan),TWN,2,7.4 magnitude earthquake struck Hualien. TSMC evacuated fabs temporarily. Wafer damage estimated at hundreds of millions. Short disruption but markets reacted sharply.,"TSMC, CNA",20,12,2024,Moderate
D022,US-China EV Tariff Escalation,2024-05-14,2024-12-31,"Electric Vehicles, Batteries, Solar",Global (US–China),"USA,CHN,EU",3,"Biden administration raised EV tariffs on China from 25% to 100%. Battery tariffs to 25%, solar cells to 50%. EU launched parallel investigations. Triggered major supply chain restructuring in EV sector.","USTR, Reuters","17,1211,1221",231,2024,Significant
D023,German Auto Industry Crisis — VW Plant Closures,2024-09-02,2024-12-31,Automotive,Europe (Germany),DEU,3,"Volkswagen announced potential closure of 3 German factories for first time in 87-year history. IG Metall strikes followed. EV transition, Chinese competition, and energy costs cited.","VW AG, Der Spiegel","14,141,17",120,2024,Significant
D024,India Pharmaceutical Export Restrictions,2024-01-15,2024-06-01,"Pharmaceuticals, Healthcare",South Asia (India),IND,2,"India imposed export controls on certain drug formulations and APIs (active pharmaceutical ingredients) following domestic shortage concerns. Affected paracetamol, antibiotics supply to Africa and SE Asia.","DGFT India, Reuters","17,172,1221",138,2024,Moderate
D025,Lithium Price Crash — Battery Supply Chain Restructure,2024-01-01,2024-12-31,"Battery, EV, Mining","Global (Australia, Chile, China)","AUS,CHL,CHN",2,Lithium carbonate prices fell 80%+ from 2022 peaks. Australian spodumene miners shut operations. Chilean producers curtailed. Paradoxically disrupted battery supply chains that had built inventory assumptions around high prices.,"Fastmarkets, Mining.com","14,17",365,2024,Moderate
