field,sample_id,headline,llm_value,notes
affected_industry,80,Swiss watchmaker Swatch reports movement component shortage from Asian suppliers,manufacturing,Category wrong: should be component_shortage; industry wrong: manufacturing not logistics
affected_industry,82,Egyptian Suez Canal revenues surge as Red Sea crisis diverts traffic northward,logistics,Industry wrong: logistics not automotive; signal wrong: keep Propagation
affected_industry,83,Indonesian palm oil export ban causes global food inflation concerns,food,Industry wrong: food not energy
affected_industry,92,Indian steel exports surge as China domestic demand weakens sharply,manufacturing,Category wrong: should be economic; industry wrong: manufacturing not logistics
affected_industry,97,US pharmaceutical supply chain audit reveals 80 percent API dependency on China,pharmaceutical,Industry wrong: pharmaceutical not automotive
affected_industry,98,Taiwanese display panel makers report inventory glut as consumer demand falls,electronics,Category wrong: should be economic; industry wrong: electronics not logistics
region,7,Monsoon floods damage key rail links used to reroute cargo after Red Sea crisis,unknown,Industry wrong: logistics not automotive; region wrong: unknown inferable as South/SE Asia
region,8,TSMC Fab 14 forced to halt production after major fire destroys cleanroom,unknown,Region wrong: unknown — TSMC is in Taiwan
region,9,Semiconductor lead times fall below 20 weeks for first time since 2020 chip cris,unknown,Category wrong: Recovery event not factory; region wrong: Global not unknown
region,26,Shanghai port throughput falls 40 percent during two month COVID lockdown,East Asia,Category wrong: should be factory/pandemic; region wrong: China not East Asia
region,38,Nordic semiconductor fab announces 6 month delay due to equipment shortages,Nordic,Category wrong: component_shortage not factory; region vague: Nordic needs country
region,41,South Korean battery maker LG Energy announces US gigafactory delay,North America (US),Category wrong: factory ok but industry wrong: automotive not energy; region format inconsistent
severity_score,5,Suez Canal fully reopened as Ever Given refloated after six day blockage,2,Industry wrong: logistics not automotive; severity wrong: reopening = 2 not 5
severity_score,6,Dockworkers strike at LA port compounds already critical chip shortage for autom,4,Industry wrong: logistics not semiconductor; severity 4 not 5
propagation_risk,3,Toyota halts US assembly lines as Japanese chip shortages reach North American p,global,Category wrong: should be factory/labor; industry wrong: automotive not semiconductor; propagation global; signal Trigger
propagation_risk,12,Russian oil sanctions force European refineries to seek alternative suppliers,global,Propagation wrong: Russian oil sanctions = global not regional
propagation_risk,34,Japan restricts export of chipmaking chemicals to China following US lead,global,Propagation wrong: chip chemicals = global not regional
propagation_risk,51,Pfizer API supplier in India shuts down following FDA inspection failure,global,Propagation wrong: pharma API = global not local
propagation_risk,65,Indian pharmaceutical regulator bans 14 drug formulations citing quality issues,global,Propagation wrong: drug ban = global not regional
signal_type,1,Taiwan semiconductor orders decline for third consecutive month amid geopolitica,Propagation,Signal should be Precursor not Propagation
signal_type,3,Toyota halts US assembly lines as Japanese chip shortages reach North American p,Trigger,Category wrong: should be factory/labor; industry wrong: automotive not semiconductor; propagation global; signal Trigger
signal_type,58,Morocco phosphate export disruption threatens global fertilizer availability,Trigger,Category wrong: should be trade_policy; industry wrong: agriculture not mining; signal wrong: Trigger not Precursor
signal_type,82,Egyptian Suez Canal revenues surge as Red Sea crisis diverts traffic northward,Propagation,Industry wrong: logistics not automotive; signal wrong: keep Propagation
